item	onset	offset
Pippi, wil je mee ontbeten?	30.7361	32.49
Wat gaan we vandaag doen Pippi?	36.601	37.862
Wat?	44.003	44.395
Alle aarbeienbedden?	44.679	45.88
Dat kunnen we toch later wel doen?	48.935	50.222
Wat saaiers wist je zeker niet te bedenken, he?!	53.58	55.9107
Waar moeten we vannacht gaan slapen?	100.823	102.334
Denk je dat we Witje tegug zullen vinden?	155.133	157.156
Waarom ben je bang?	219.345	219.971
Voor het onweer of voor mij?	220.178	221.502
Wat is dat voor een vak?	238.553	239.62
Wat voort dingen dan?	273.766	274.745
Peterselie-mest en al zulk spul waar ouwe tantes intrappen, he?	278.646	281.821
Peterselie-mest?	281.898	282.893
Laat u mij ook eens proberen?	296.384	297.588
