item	onset	offset
Pippi, wil je mee ontbijten?	30.736	32.49
Nee, ik heb al driemaal ontbeten.	32.93	34.459
Kleine Witje.	34.939	35.479
Dag Pap.	35.479	35.857
Wat gaan we vandaag doen Pippi?	36.601	37.862
Dat kan ik jullie heel precies zeggen.	38.072	40.148
Tommy en Annika wieden de aarbeienbedden.	40.865	43.506
Wat?	44.003	44.395
Alle aarbeienbedden?	44.679	45.88
Net nou het zo fijn weer is.	47.279	48.854
Dat kunnen we toch later wel doen?	48.935	50.222
Stel niet uit tot morgen wat je vandaag kunt doen.	50.671	52.908
Wat saaiers wist je zeker niet te bedenken, he?!	53.58	55.9107
Het is de hoogste tijd anders worden de bedden verstikt.	56.341	58.8024
Nou dan laat je ze verstikken.	58.932	60.1143
Ik geloof dat het dadelijk gaat regenen.	90.943	92.414
Die kinderen uit dat boek die weggelopen waren hadden altijd mooi weer.	92.825	95.6902
Waar moeten we vannacht gaan slapen?	100.823	102.334
We zullen wel ergens wat vinden.	103.718	104.8881
Je weet toch: ik ben een geluksvogel.	106.955	108.8421
Achter die heuvel ligt waarschijnlijk een heel erg mooi slot.	109.605	112.4901
En de graaf en gravin zijn reuzeblij dat we komen!	113.34	116.62
Pippi, zonder paard zullen we niet ver komen.	150.359	153.274
We zullen maar afwachten heb ik gezegd.	153.409	154.675
Denk je dat we Witje tegug zullen vinden?	155.133	157.156
Welnee!	157.603	158.196
Die loopt terug naar Vila Kakelbont en zet koffie zodat we warms krijgen als we terug komen.	158.196	162.162
Kom!	163.824	164.041
Hie kunnen we toch niet blijven.	164.148	165.207
Hallo!	170.978	171.518
Hallo!	173.274	173.805
Welkom!	174.694	175.269
Ga op het bankstel.	175.753	176.6531
Of in één van de vele liue stoelen als je dat liever is.	177.214	179.699
Ik heet Pippi en dat is Tommy en dat Annika	210.781	213.2131
Wau, ook mooie namen!	213.353	214.384
Annika schijnt nogal bang te zijn.	215.047	216.549
Haar hart klopt zo luid dat je het hoort.	216.675	218.442
Waarom ben je bang?	219.345	219.971
Voor het onweer of voor mij?	220.178	221.502
voor alle twee	224.4439	225.4313
Ja, dat onweer is iets aparts daar kan ik niks aan veranderen.	225.712	228.26
Maar voor mij hoef je niet bang te zijn.	229.282	231.007
Ik ben marskramer en ik zou geen vlieg kwaad doen.	231.348	233.525
En ik ben blij als de vliegen mij ook niks doen.	233.9	236.5152
Marskramer hebt u gezegd.	237.053	238.553
Wat is dat voor een vak?	238.553	239.62
Nou ik trek van dorp naar dorp en verkoop de boeren van allerlei.	270.208	272.991
Wat voort dingen dan?	273.766	274.745
No, ja, zo allerlei.	274.897	276.193
Ik wil raden wat he verkoopt.	276.764	278.088
Peterselie-mest en al zulk spul waar ouwe tantes intrappen, he?	278.646	281.821
Peterselie-mest?	281.898	282.893
Kind, weet jij veel.	282.893	283.918
Ik zal je zeggen wat ik verkoop.	284.126	285.482
Mijn succes is Koenraadskleefpasta.	285.573	287.749
Wee, het kind dat eens aan mijn lijm blijft hangen.	288.028	290.242
Het komt niet meer los.	290.288	291.692
Koenraadskleefpasta lijmt, plakt en kit alles!	292.169	296.384
Laat u mij ook eens proberen?	296.384	297.588
Dat mijn lijm goed is wist ik al lang maar dat 'ie zo goed was is zelfs voor mij nieuw.	331.598	335.072
Tommy, Annika, kijk eens! 	342.146	345.019
Ik ben hier!	345.584	346.366
Die kleefpasta is werkelijk van formaat!	349.13	353.0634
Pippi, laat het niet op drogen.	353.222	354.515
Dan blijf je dan boven hangen.	354.515	355.58
Dan moeten ze je eten komen brengen met een ladder.	355.874	358.077
